ZipCode,Area
5481,973626
5482,65457731
5483,55218741
5485,476408
5486,38719598
5487,116870374
5488,171890283
5489,137459303
5491,232221233
5492,42797622
5494,89130877
5495,88002498
5602,213383040
5640,9773217
5641,141060507
5647,77919573
5648,23670559
5649,40558607
5650,62764298
5651,44977192
5652,82034358
5653,84476039
5654,7596974
5655,91149069
5656,121913910
5657,1250825
5658,99751307
5660,103388905
5661,172654310
5663,142440147
5664,43125
5667,117752850
5669,109981610
5672,188454133
5673,142493549
5674,103538053
5675,103085817
5676,266549335
5677,41448668
5678,1950584
5679,103408370
5680,173479226
5681,69131615
5682,120101384
5701,151478660
5730,36222145
5732,29550514
5733,300210120
5734,114776651
5735,117005384
5736,15697856
5737,169371097
5738,130236454
5739,142118439
5740,72134
5742,67434318
5743,261901193
5744,57828373
5747,131280973
5748,98760668
5751,121356290
5753,222260927
5757,63441715
5758,78939755
5759,47115714
5760,103496620
5761,98550994
5762,51945368
5763,74743170
5764,114590512
5765,20895538
5766,118713094
5767,148564205
5769,83765859
5770,107582858
5772,118608208
5773,184146856
5774,60002627
5775,33142511
5776,115526003
5777,125090935
5778,64944318
5819,241599011
5820,62672026
5821,92313288
5822,107310957
5824,139683615
5825,6656344
5826,81359849
5827,39721225
5828,139445777
5829,70164610
5830,82978269
5832,76285278
5833,37584389
5836,74670364
5837,119173644
5839,63796192
5841,78687393
5842,47533371
5843,94463166
5845,109209408
5846,147919115
5847,145236150
5850,1070047
5851,208393633
5853,85147983
5855,168871481
5857,111700616
5858,203083737
5859,144888150
5860,201910425
5862,73538143
5866,85123494
5867,93805972
5868,36460773
5871,123494890
5872,66020593
5873,77810194
5874,95119558
5875,45158081
5901,97310547
5902,2901599
5903,173624008
5904,1720113
5905,496746997
5906,126311918
5907,289722725
6001,61968572
6002,67930531
6010,69427784
6013,78772692
6016,39016420
6018,31053807
6019,60598525
6020,18987
6021,14783766
6022,4196745
6023,2379054
6024,20576056
6026,43849519
6027,42537785
6029,88937643
6031,100441245
6032,60525791
6033,90378443
6035,40082531
6037,67474205
6039,56792465
6040,44343040
6042,27354965
6043,38092950
6051,10602237
6052,6662737
6053,20962832
6057,97404370
6058,134701573
6059,10495613
6060,31267277
6061,330786
6062,22815833
6063,80421830
6065,24984453
6066,46837328
6067,35844010
6068,85358750
6069,131661298
6070,56801286
6071,75048907
6073,44724953
6074,74249775
6076,226165399
6078,67806175
6081,1951374
6082,88617689
6084,104895992
6085,12706302
6088,30439198
6089,7088681
6090,35084682
6091,30953245
6092,22395785
6093,43411165
6095,80415412
6096,25745846
6098,153166626
6103,1274274
6105,6079380
6106,11205897
6107,17438369
6108,22149025
6109,33954674
6110,8639056
6111,34034916
6112,7079029
6114,10831481
6117,26399515
6118,26426792
6119,5284985
6120,10259435
6160,140568
6226,19023056
6231,41658346
6232,40636247
6234,79673637
6235,50368365
6237,57446831
6238,98548687
6239,60208378
6241,73604814
6242,68439386
6243,1161723
6247,89203798
6248,54915170
6249,143099827
6250,46026134
6254,50681840
6255,60781388
6256,20044352
6259,108335900
6260,52042529
6262,2549642
6263,597883
6264,3749379
6266,2523797
6268,68423663
6269,3339717
6277,62129206
6278,104406244
6279,86812809
6280,39058548
6281,145782496
6282,15750315
6320,19485058
6330,48931350
6331,104152623
6332,1202192
6333,62316681
6334,50917840
6335,31022934
6336,1591851
6339,71109265
6340,73033744
6350,604362
6351,141854378
6353,972662
6354,53927102
6355,42733996
6357,33924331
6359,142441087
6360,73167357
6365,82208810
6370,63628096
6371,157550977
6373,8813145
6374,67971782
6375,22822591
6376,259435
6377,43237298
6378,60350128
6379,35408558
6380,2589789
6382,49629642
6384,100565685
6385,70130109
6387,277797
6389,328568
6390,10936841
6401,15992155
6403,25335096
6405,67690449
6409,3706428
6410,85079362
6412,43584029
6413,45974776
6414,751064
6415,143517497
6416,31361956
6417,36685986
6418,14032498
6419,92677235
6420,77865104
6422,61671908
6423,103972954
6424,109223819
6426,18324172
6437,128048407
6438,34197195
6441,67975664
6442,8675762
6443,97906604
6444,1702317
6447,60923676
6450,36726565
6451,25883670
6455,29642508
6456,3283622
6457,109724045
6460,38908741
6461,26347415
6467,173168
6468,68046936
6469,27022661
6470,98412384
6471,23734431
6472,46865400
6473,56781027
6475,47841461
6477,45115093
6478,86334184
6479,19148075
6480,64372632
6481,4698844
6482,54572415
6483,38790529
6484,82627335
6488,103778992
6489,73835665
6492,104617863
6498,45732554
