City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
ny,Upper West Side,27,2,5,10978,214881,5438956,2410,2520,2990,3885,4585,395.07766
ny,Upper East Side,14,2,5,14149,219277,5139760,2607.5,2725,3232.5,4202.5,4960,426.62887
sfo,Bayview-Hunters Point,74,2,1,155,33996,15566151,1840,2260,2780,3800,4560,21.8397
sfo,lake Merced,68,0,2,130,28129,9354165,2620,3200,3960,5420,6500,30.0711
sfo,St. Francis Wood/Miraloma/West Portal,41,1,1,69,19289,4594824,2280,2780,3440,4720,5640,41.97985
sfo,Twin Peaks-Glen Park,67,0,1,47,26881,5436598,2420,2960,3660,5020,6020,49.44452
sfo,Outer Richmond,56,1,1,157,41203,8042964,2300,2820,3480,4760,5720,51.22863
sfo,Potrero Hill,33,1,1,412,26599,4875049,3160,3860,4760,6520,7820,54.5615
sfo,Parkside/Forest Hill,71,2,1,89,43698,6793787,2520,3080,3800,5200,6240,64.32053
sfo,Visitacion Valley/Sunnydale,56,3,2,73,40798,6306233,2080,2540,3140,4300,5160,64.69472
sfo,Inner Richmond,57,5,1,236,38319,5106525,2320,2840,3500,4800,5740,75.03929
sfo,South of Market,18,7,0,497,27170,3512156,1820,2240,2760,3780,4540,77.35989
sfo,Marina,33,0,2,165,23088,2866147,2800,3440,4240,5800,6960,80.55414
sfo,Castro/Noe Valley,67,2,2,215,31124,3691502,2640,3220,3980,5460,6540,84.31256
sfo,Haight-Ashbury,209,4,1,193,39169,4372283,2540,3120,3840,5260,6300,89.58478
sfo,Ingelside-Excelsior/Crocker-Amazon,96,4,2,189,79407,8712507,2140,2620,3240,4440,5320,91.14139
sfo,Sunset,21,3,2,251,56023,6122506,2360,2880,3560,4880,5840,91.50338
sfo,North Beach/Chinatown,40,5,1,415,26237,2602499,2280,2780,3440,4720,5640,100.81464
sfo,Western Addition/Japantown,47,5,2,235,33021,2889747,2440,3000,3700,5060,6080,114.26952
sfo,Inner Mission/Bernal Heights,119,16,2,545,69333,6034796,2140,2600,3220,4400,5280,114.88872
sfo,Polk/Russian Hill (Nob Hill),33,6,0,376,55984,3372018,1940,2380,2940,4020,4820,166.02521
sfo,Hayes Valley/Tenderloin/North of Market,59,9,1,432,31176,1737493,1520,1860,2300,3140,3780,179.43094
sfo,Chinatown,27,1,1,217,13768,699434,1620,2000,2460,3360,4040,196.84488
