"","population","latitude","longitude"
"2071","1707","42.1034247","-71.2735885"
"2072","26999","42.119006","-71.1036499"
"2081","18472","42.1462266","-71.2703781"
"2090","14636","42.2196447","-71.2167692"
"2093","10955","42.0526709","-71.356858"
"2108","3825","42.357767","-71.0648484"
"2109","3771","42.3672234","-71.0506328"
"2110","1733","42.3619623","-71.0478465"
"2111","7383","42.3505177","-71.0590623"
"2113","6915","42.3653348","-71.0552357"
"2114","11999","42.3631745","-71.0686463"
"2115","28441","42.3363418","-71.104176"
"2116","20628","42.3505793","-71.0763972"
"2118","26498","42.33786","-71.0698052"
"2119","25346","42.3240256","-71.0850214"
"2120","15181","42.3320907","-71.0965454"
"2121","25978","42.3062667","-71.0858974"
"2122","23479","42.2914125","-71.0421575"
"2124","47783","42.2858047","-71.0705705"
"2125","33295","42.3157481","-71.0558957"
"2126","25562","42.2740159","-71.0967897"
"2127","31799","42.3349918","-71.0390934"
"2128","40508","42.3611289","-71.0069754"
"2129","16439","42.379657","-71.0614875"
"2130","35401","42.3091743","-71.1138354"
"2131","29826","42.2843326","-71.1262275"
"2132","25861","42.2804549","-71.1620165"
"2134","21503","42.3580164","-71.1286084"
"2135","42780","42.3496885","-71.1539638"
"2136","28488","42.2550833","-71.1292203"
"2138","36314","42.3796372","-71.1351523"
"2139","36349","42.3629856","-71.1033529"
"2140","17607","42.3921567","-71.1339958"
"2141","11910","42.3702998","-71.0825603"
"2142","3141","42.3614712","-71.0819939"
"2143","24514","42.3809849","-71.0965517"
"2144","23891","42.3996553","-71.1225501"
"2145","25439","42.3915769","-71.0899097"
"2148","59503","42.4301399","-71.0576939"
"2149","41550","42.4059375","-71.0546487"
"2150","35124","42.3968243","-71.0313479"
"2151","51808","42.4182938","-71.0012566"
"2152","17497","42.3730546","-70.9748072"
"2155","57964","42.4238395","-71.1076732"
"2163","2582","42.3661684","-71.1228503"
"2169","55055","42.248386","-71.0022792"
"2170","19505","42.2664118","-71.0155726"
"2171","17711","42.2921418","-71.020475"
"2176","26983","42.455723","-71.0590194"
"2180","21437","42.4742082","-71.0976654"
"2184","35744","42.2054158","-71.002168"
"2186","27003","42.2415889","-71.0826511"
"2188","14608","42.2045782","-70.9577488"
"2189","14559","42.2087035","-70.9310205"
"2190","16119","42.1667306","-70.9523629"
"2191","8457","42.243453","-70.942033"
"2199","1146","42.3474633","-71.0820392"
"2203","0","42.3605978","-71.0587753"
"2210","2090","42.3477923","-71.0395624"
"2215","26125","42.3475927","-71.102934"
"2301","61025","42.0783714","-71.0423041"
"2302","32741","42.0881234","-70.9982927"
"2322","4356","42.1324001","-71.0539299"
"2324","26563","41.9723874","-70.9787781"
"2330","11509","41.8780462","-70.7441376"
"2332","15059","42.0443728","-70.7061151"
"2333","13794","42.037278","-70.9404591"
"2338","7518","42.003513","-70.8633336"
"2339","13879","42.1229562","-70.8563099"
"2341","10218","42.0503348","-70.8671609"
"2343","10745","42.1489129","-71.0037371"
"2346","23106","41.8780043","-70.8692669"
"2347","10612","41.8344739","-70.95704"
"2351","16029","42.1199641","-70.9572156"
"2356","12564","42.0604855","-71.1249698"
"2357","1360","42.0551364","-71.0814158"
"2359","17828","42.0678041","-70.8057131"
"2360","56271","41.8833592","-70.631381"
"2364","12629","41.9871959","-70.7419417"
"2366","197","41.8505701","-70.6560455"
"2367","2820","41.9591","-70.8027525"
"2368","32158","42.1764456","-71.0515674"
"2370","17489","42.1303994","-70.9106147"
"2375","9188","42.0030413","-71.0769282"
"2379","6916","42.0216172","-71.026717"
"2382","14489","42.0789741","-70.9393902"
"2420","14052","42.4570545","-71.2154642"
"2421","17342","42.4385472","-71.2395735"
"2445","20679","42.3254833","-71.1350449"
"2446","29311","42.3435034","-71.1222479"
"2451","17426","42.3978234","-71.2557077"
