Zip Code,Inspection Date,Score
78759,2/17/2016,89
78701,2/17/2016,97
78704,2/17/2016,73
78741,2/17/2016,94
78745,2/17/2016,63
78751,2/17/2016,91
78727,2/17/2016,97
78732,2/17/2016,94
78701,2/17/2016,86
78701,2/17/2016,96
78745,2/17/2016,100
78701,2/17/2016,97
78660,2/17/2016,98
78749,2/17/2016,82
78758,2/17/2016,98
78702,2/17/2016,92
78727,2/17/2016,93
78705,2/18/2016,96
78701,2/18/2016,97
78723,2/18/2016,99
78752,2/18/2016,96
78701,2/18/2016,92
78759,2/18/2016,87
78745,2/18/2016,93
78727,2/18/2016,94
78705,2/18/2016,94
78704,2/18/2016,95
78741,2/18/2016,81
78704,2/18/2016,86
78744,2/18/2016,90
78749,2/18/2016,80
78749,2/18/2016,100
78701,2/18/2016,74
78705,2/18/2016,93
78660,2/18/2016,100
78701,2/18/2016,78
78752,2/18/2016,98
78701,2/18/2016,75
78701,2/18/2016,97
78704,2/18/2016,89
78617,2/18/2016,76
78726,2/18/2016,100
78741,2/18/2016,100
78753,2/18/2016,100
78751,2/18/2016,92
78751,2/18/2016,100
78703,2/18/2016,85
78759,2/18/2016,95
78705,2/18/2016,90
78701,2/18/2016,100
78756,2/18/2016,94
78757,2/19/2016,86
78705,2/19/2016,87
78746,2/19/2016,98
78617,2/19/2016,65
78705,2/19/2016,100
78701,2/19/2016,87
78753,2/19/2016,96
78753,2/19/2016,96
78701,2/19/2016,71
78745,2/19/2016,97
78757,2/19/2016,93
78744,2/19/2016,93
78701,2/19/2016,91
78757,2/19/2016,83
