Zip Code,Inspection Date,Score
78758,12/9/2015,95
78744,11/12/2015,81
78702,1/4/2017,96
78757,11/8/2016,83
78748,2/17/2016,90
78749,10/22/2015,97
78750,9/30/2016,92
78747,1/4/2017,98
78757,7/23/2014,93
78757,1/14/2015,100
78705,12/22/2015,97
78744,12/12/2014,83
78758,3/25/2015,96
78722,1/21/2016,96
78758,3/19/2014,97
78744,5/28/2015,87
78758,9/25/2014,94
78748,4/1/2016,95
78748,10/15/2014,83
78729,2/12/2015,94
78745,3/2/2016,98
78749,10/31/2016,95
78702,7/18/2016,87
78701,5/18/2015,96
78703,12/23/2014,96
78705,1/12/2017,94
78703,1/29/2016,93
78748,9/29/2015,90
78735,5/18/2015,83
78757,12/30/2014,97
78701,11/17/2016,91
78702,3/20/2015,96
78704,9/16/2015,78
78759,2/9/2016,100
78723,9/8/2015,70
78750,5/19/2015,96
78729,1/7/2016,97
78729,2/17/2015,100
78729,6/16/2016,97
78729,7/17/2015,100
78729,9/22/2014,100
78729,10/27/2016,94
78748,3/9/2015,94
78758,9/28/2015,94
